1,3,0.4
1,6,3.7
1,8,1.6
1,9,0.3
1,10,1.1
1,12,1.6
1,13,1.4
1,16,3.2
1,22,1.4
1,23,2.0
1,26,2.2
1,27,4.4
1,32,0.2
1,33,1.7
1,34,3.6
1,39,4.1
1,41,3.2
1,42,4.1
1,47,2.1
1,49,1.0
2,3,2.2
2,5,3.1
2,10,4.4
2,11,0.6
2,12,1.6
2,17,1.0
2,18,4.9
2,19,3.9
2,23,3.1
2,26,4.3
2,33,4.8
2,34,4.5
2,37,0.6
2,39,0.8
2,42,2.4
2,43,1.6
2,46,3.8
2,47,2.7
2,49,1.9
2,51,3.6
2,53,4.6
2,57,1.1
2,59,0.3
2,60,3.2
2,64,3.2
2,65,1.0
2,69,4.5
2,73,0.2
2,75,3.0
2,76,0.4
3,5,1.9
3,6,0.0
3,7,3.6
3,9,0.7
3,10,3.7
3,11,0.5
3,13,1.5
3,21,3.8
3,22,1.9
3,23,0.6
3,24,4.4
3,26,0.6
3,28,1.6
3,29,0.8
3,34,3.4
3,37,4.0
3,40,2.4
3,44,2.7
3,46,4.6
3,47,2.0
3,49,0.2
3,51,3.9
3,52,3.3
3,60,0.1
3,67,1.4
3,68,1.0
3,72,3.5
3,73,0.5
3,74,2.2
3,75,4.2
3,77,3.6
3,79,2.5
4,1,1.7
4,5,3.4
4,7,0.9
4,9,1.2
4,10,3.1
4,17,1.8
4,22,3.1
4,25,0.6
4,28,2.4
4,29,0.1
4,31,4.7
4,37,1.7
4,38,3.4
4,39,2.2
4,41,2.0
4,42,1.8
4,49,1.7
4,50,2.0
4,51,4.8
4,54,3.7
4,55,2.6
4,56,0.5
4,70,3.4
4,72,1.7
4,74,3.2
4,75,0.8
4,76,3.1
4,79,5.0
5,1,2.1
5,2,1.6
5,3,4.6
5,4,3.1
5,20,0.1
5,22,3.2
5,27,1.3
5,28,4.8
5,30,0.8
5,31,4.5
5,33,0.1
5,35,3.7
5,37,2.0
5,38,4.8
5,40,4.4
5,41,2.5
5,47,3.4
5,48,0.3
5,49,1.7
5,52,4.2
5,55,2.8
5,56,4.5
5,58,2.9
5,60,4.3
5,66,1.1
5,69,2.9
5,74,1.4
5,78,4.3
5,79,0.5
6,2,1.1
6,5,4.6
6,9,0.4
6,11,4.3
6,16,0.2
6,19,3.3
6,20,4.4
6,25,4.4
6,29,0.4
6,30,2.3
6,34,0.3
6,35,4.0
6,38,2.5
6,39,4.0
6,40,4.6
6,41,0.2
6,43,4.1
6,44,4.7
6,46,2.0
6,47,2.4
6,53,3.5
6,56,0.2
6,60,0.7
6,61,3.8
6,62,4.0
6,67,0.0
6,69,2.7
6,70,4.2
6,71,2.5
6,74,3.9
6,75,0.6
6,77,2.8
6,78,0.2
7,1,1.2
7,2,1.8
7,5,4.4
7,10,1.3
7,12,3.8
7,17,4.0
7,18,3.9
7,20,1.4
7,21,0.8
7,22,0.5
7,23,3.8
7,24,1.1
7,26,4.1
7,27,1.9
7,32,2.5
7,38,2.5
7,42,1.7
7,47,0.5
7,48,4.4
7,50,1.5
7,54,1.7
7,56,0.2
7,57,0.8
7,61,3.4
7,64,3.8
7,72,4.9
7,73,1.7
7,74,3.9
8,3,2.1
8,5,1.0
8,6,2.2
8,9,4.4
8,10,0.3
8,14,0.2
8,19,2.6
8,27,3.0
8,29,1.2
8,30,0.9
8,32,1.7
8,34,3.4
8,35,2.0
8,39,0.6
8,40,4.6
8,42,3.2
8,44,0.1
8,46,4.5
8,47,2.1
8,49,2.0
8,50,4.6
8,51,1.0
8,52,4.1
8,53,4.2
8,55,4.8
8,57,1.0
8,59,3.5
8,61,4.7
8,63,1.1
8,65,2.3
8,67,3.2
8,68,0.6
8,70,3.9
8,71,0.4
8,73,2.8
8,75,4.5
8,78,1.1
9,4,2.7
9,7,1.8
9,12,3.5
9,16,3.3
9,17,3.9
9,18,4.3
9,21,2.8
9,22,1.3
9,23,0.9
9,27,1.2
9,30,4.3
9,35,4.8
9,40,2.2
9,46,4.6
9,47,3.6
9,48,2.7
9,50,3.3
9,51,0.4
9,52,3.4
9,53,4.6
9,55,4.3
9,57,0.4
9,58,2.1
9,63,4.7
9,66,3.4
9,68,4.3
9,69,4.8
9,70,0.6
9,76,3.6
9,77,1.4
9,79,1.2
10,3,0.3
10,4,1.8
10,7,4.3
10,9,2.2
10,10,2.1
10,12,4.4
10,15,1.7
10,16,3.2
10,19,0.1
10,20,3.3
10,24,0.9
10,29,1.2
10,32,4.3
10,33,0.8
10,35,1.8
10,38,1.5
10,39,0.6
10,40,3.2
10,46,1.7
10,47,3.9
10,48,2.5
10,51,1.2
10,60,2.1
10,62,4.0
10,63,3.4
10,66,4.7
10,68,3.5
10,71,4.9
10,75,1.8
10,76,4.6
11,1,4.5
11,2,4.7
11,4,2.9
11,8,3.1
11,9,2.3
11,12,0.6
11,13,3.5
11,14,3.3
11,16,4.2
11,18,1.7
11,19,0.6
11,23,1.3
11,24,2.9
11,33,4.5
11,34,2.6
11,35,0.8
11,40,4.6
11,42,2.1
11,52,2.9
11,60,4.2
11,63,1.3
11,66,3.4
11,69,0.9
11,72,3.4
11,74,3.3
11,75,3.7
11,79,1.3
12,2,0.1
12,5,1.2
12,6,2.8
12,12,4.4
12,14,4.8
12,17,1.0
12,18,2.0
12,21,0.2
12,23,2.2
12,26,2.1
12,29,0.8
12,34,0.6
